Rank,C,Epsilon,Gamma,CV_RMSE
1,50,0.001,0.01,0.07419014543857612
2,10,0.001,0.05,0.0748995235190784
3,10,0.005,0.05,0.07534337223136527
4,50,0.005,0.01,0.07554241821997436
5,50,0.01,0.01,0.0763469629335998
6,10,0.005,scale,0.07658337985274129
7,10,0.01,0.05,0.0766965981828861
8,10,0.001,scale,0.07688399995775852
9,10,0.01,scale,0.07812999967444915
10,10,0.01,0.01,0.07862651630297449
11,10,0.005,0.01,0.07883779925960885
12,10,0.001,0.01,0.0792474854992878
13,100,0.01,0.01,0.0794302678647039
14,150,0.005,0.01,0.08033356059702865
15,100,0.005,0.01,0.08252146853581113
16,50,0.05,0.01,0.08371740089246738
17,10,0.05,0.01,0.08401114133775796
18,200,0.01,0.001,0.08565674413322875
19,150,0.01,0.01,0.08573778178689997
20,200,0.01,0.01,0.0860594650791957
21,150,0.001,0.01,0.08612739993886168
22,150,0.01,0.001,0.08620891227189412
23,100,0.05,0.01,0.08624365271740693
24,150,0.005,0.001,0.08633740727258155
25,200,0.001,0.001,0.08637355104333437
26,150,0.001,0.001,0.08643108889523127
27,100,0.01,0.001,0.08650749099059002
28,200,0.001,0.01,0.086661823434813
29,100,0.001,0.01,0.08696764478036054
30,150,0.05,0.001,0.08703476116190548
31,100,0.05,0.001,0.08717207646954572
32,200,0.05,0.001,0.0871729343005631
33,200,0.005,0.001,0.0872174974977461
34,100,0.005,0.001,0.08735856023670899
35,50,0.01,0.001,0.08777193754370702
36,10,0.05,0.05,0.0877820640808101
37,100,0.001,0.001,0.08778791710540236
38,50,0.005,0.001,0.08802038266811377
39,150,0.05,0.01,0.08817648470130378
40,50,0.001,0.001,0.08840891958284758
41,50,0.05,0.001,0.08857634570464179
42,200,0.005,0.01,0.08969421843530538
43,10,0.05,scale,0.09081795172015061
44,10,0.05,0.001,0.09156316161020595
45,10,0.01,0.001,0.09247520998473976
46,10,0.005,0.001,0.09288211158486882
47,10,0.001,0.001,0.09318705147708099
48,200,0.05,0.01,0.09425075007350467
49,50,0.005,0.05,0.09842089616702168
50,50,0.001,0.05,0.09913439844335567
51,50,0.01,0.05,0.09918607828026357
52,50,0.01,scale,0.10507134493081738
53,50,0.001,scale,0.10615667223066272
54,50,0.005,scale,0.10678082768728978
55,50,0.05,0.05,0.11159877887046868
56,50,0.05,scale,0.11421015179134872
57,100,0.005,0.05,0.11734439417063984
58,100,0.01,0.05,0.11879873182364964
59,100,0.001,0.05,0.11900736370081826
60,100,0.001,scale,0.12312625239451462
61,100,0.005,scale,0.1234111968032801
62,100,0.01,scale,0.1241786402338633
63,100,0.05,0.05,0.12647786563790292
64,100,0.05,scale,0.12993757708404904
65,150,0.01,0.05,0.13042936190638368
66,150,0.005,0.05,0.13389422194892125
67,150,0.05,0.05,0.13718154044708977
68,200,0.001,0.05,0.13777427908798162
69,150,0.001,0.05,0.1384607727744124
70,150,0.01,scale,0.1387387100724053
71,150,0.005,scale,0.140537545401875
72,150,0.05,scale,0.14145689808471168
73,150,0.001,scale,0.14470416918880463
74,200,0.005,0.05,0.1457265598463333
75,200,0.05,0.05,0.14590563013091332
76,200,0.001,scale,0.1459422670422466
77,200,0.005,scale,0.1463071527050083
78,200,0.05,scale,0.14923919410981284
79,200,0.01,scale,0.14990042601713355
80,200,0.01,0.05,0.1506014986717797
